id,desc_en
36,"■Free wild hot spring. A supreme hot spring. Details *July 1st - September 30th
■Manager's rating ★5!! (Spring quality 4.5, Scenery 0.5+α) Located at the back of Shikaribetsu Gorge Campground. Note that the bath is only cleaned during the Shikaribetsu Gorge Campground's opening period (July 1st - September 30th). If it's not cleaned, a large amount of algae will be attached and floating in the water. There is a path leading down to Shika-no-yu to the left of the cooking area. It's not a very difficult path. The water is a thick, cloudy moss green, and the bath is covered with brown deposits. It's similar to Yunotsu Onsen in Shimane. Spring quality gets a perfect 4.5. And the scenery here is also very wonderful. One of the best views in the country. A clear stream flows beside it, and you can see a panoramic view of a broadleaf forest. Autumn must be the best. 0.5 out of 5. A superb wild hot spring with a total rating of 5 out of 5. There are no words to describe how truly wonderful it is. There are tons of insects (blood-sucking gnats), so insect repellent is a must. You should apply insect repellent spray the moment you get out of the bath. Anyway, it's absolutely wonderful. A truly moving natural hot spring. The caretaker loves hot springs like this."
37,"■Bath only OK♨️: Kimundo House: 500 yen, details
■Paid campsite. Price details. Price details (Nap). 700 yen per person + additional vehicle fee allows for vehicle-in camping (※Overnight parking in the parking lot is prohibited). It's relatively quiet if you go to the lakeside. Fireworks are set off on the opposite shore from 8:45 PM (they're far away and small). Water can be drawn (cold and refreshing). And surprisingly, garbage collection is also provided at no extra charge. (2025)"
38,"■ Vehicle parking fee + per-person charge; detailed pricing information.

■ Shower 🚿: 200 yen (for facility users)"
39,"The cheapest plan is 310 yen for 30 minutes, and you can enter and use the shower 🚿. Details"
40,"■ June 2025 Administrator's On-site Verification: Car Camping Rating [Good 😊] 76 points 👉️ Click here for photos and detailed map of the site
■ Report from our site's reader: No signs prohibiting car camping (Submitted by: k, July 2022)"
41,Free parking and public restrooms. Reports indicate that overnight parking is permitted; detailed report available (information from 2022).
42,"■Administrator's On-Site Verification, July 2024: Overnight Car Stay Rating [Rank B] ​​69 points 👉️Click here for photos and detailed map of the site
■Report from our site's reader: The roadside station has been renovated, so Pizza Do has relocated and reopened nearby (details). Around July of this year. (Posted: September 2024, Mr. T)
■Report from our site's reader: Overnight car stay is good, but the shop that used to sell salmon roe rice bowls is gone. There is a Lawson convenience store next door. Overnight car stay is close to an S rating. (Posted: July 2022, Mr. K)
■Report from our site's reader: It seems to have been renovated in 2015, and it is a very spacious and clean roadside station. The toilets are also among the cleanest of all roadside stations. There is a convenience store (Lawson) attached, and since it is close to the city center, there are supermarkets and gas stations nearby. It is along a national highway, but it is fairly quiet at night. The reason for this is that the bypass of National Route 337 is located some distance away, and it is thought that large vehicles use that route. The road to the roadside station is on National Route 337, which runs through an urban area, so there's a lot of traffic, but it gets quieter at night. However, it's a popular roadside station, so there's a lot of traffic and many cars idling, which can make it a little noisy. The roadside station has high-speed Wi-Fi, which can be accessed even from inside your car parked in the parking lot. There are no hot springs attached to the roadside station, but there are several nearby, so you shouldn't have any trouble finding a place to bathe. (Older post from before 2019)"
43,■Report from our website readers: Water supply available. Tap water.
44,"■Report from our website reader: 500 yen, 12:00-21:00, rest area available. Soap and other amenities not provided. Details (Posted by: n, March 2026)"
45,"■ August 2025 Administrator's On-site Verification: Car Camping Rating [S Rank 🤩] 86 points 👉️ Click here for photos and detailed map of the site
■ Bathing ♨️: 《Shinshinotsu Onsen Tappu no Yu》 700 yen, details
■ The adjacent campsite is subject to a fee. Price details
■ Report from our site's reader: Tappu no Yu, 700 yen, 6:00-22:00, dining hall and rest area available at reception. Details (Posted: March 2026, by n)"
46,■Detailed map and photos of the toilets 🚻. Overnight parking is permitted. (Survey conducted in September 2024)
47,"Closed on March 1, 2026."
48,■Report from our site's reader: It can be used even at night because there are no gates. It seems that it is possible to use the parking lot in the back due to its large size. There is a Seicomart nearby and the toilets are available until 0:00. (Submitted by M_Grain in March 2026)
49,"■Report from a reader of this site: It is quiet to use at night except when trains pass by. There is a toilet at the nearby station, but we were unable to confirm what time it is open. (Submitted by M_Grain in March 2026)"
50,"■Detailed map and photo of toilets 🚻. Overnight parking is possible. (On-site survey, June 2025)
■Report from a reader of this site: Open space next to the embankment. Overnight parking is possible as large vehicles are parked there and people are seen sleeping there. There is a public toilet within easy walking distance. There is a 24-hour Hasegawa Store within a 1-2 minute walk. It is relatively quiet despite being close to the national highway. (Posted by M_Grain, March 2026)
■Report from a reader of this site: Free parking. There are toilets in the park. People are occasionally seen staying overnight in their cars. (Posted by K, July 2021)"
51,A tourist attraction where you can take a tour of a chocolate factory. Details
52,"600 yen, details"
53,"■ August 2024 Administrator's On-site Verification: Car Camping Rating [Rank B] ​​63 points 👉️ Click here for photos and detailed map of the site
■ Bathing ♨️: Day-use bathing is available at ""Saroma Lake Yurinkan"" on the hillside behind the property, 600 yen, details (※ Takes 7 minutes on foot to the top)
■ Saroma Lake specialty: Grilled scallops. The parking lot is noisy as it is along the main road. (Older post from before 2019)"
54,"■August 2024 Administrator's On-Site Verification: Car Camping Rating [Rank B] ​​66 points 👉️Click here for photos and detailed map of the site
■The second parking lot is relatively quiet and good, although the toilets are further away. The upper parking lot faces the road and is noisy. (Older post from before 2019)"
55,"■Report from our website reader: 500 yen, details 10:00-21:00 Cafeteria and rest room available inside the reception area. (Submitted by: n, March 2026)"
56,"■ 850 yen, details
■ Report from our site's reader: 850 yen on weekends and holidays, 600 yen on weekday mornings, 750 yen on weekday afternoons, details. 6:00 AM - 11:00 PM. Cafeteria and rest area available inside the reception area. (Submitted by: n, March 2026)"
57,"■Report from our website reader: Free parking and restrooms. (Submitted by: n, March 2026)"
58,Free campsite. Please note that telephone reservations and registration are required. Details
59,"■The adjacent ""Esan Onsen Ryokan"" will close in the fall of 2024 due to a lack of a successor. (Information as of 2025)
■Free parking and toilets. The toilets are Western-style with simple flushing and do not smell. (Older post from before 2019)"
60,"440 yen, details"
61,"■Report from our site's reader: Used on March 3rd, 2026 (2nd time). See attached image. Explanation of the areas in the photo. Red: Can be parked for relatively long periods of time. Blue: Area for check-in. Yellow: Waiting area for boarding. Green: Parking outside of terminal management. Using these areas is contingent on taking a ferry. (Except for the green area) For overnight stays in your car while waiting for the ferry, use the red area. This is used by people who are leaving their cars and going to Aomori, and they park here all day. If the red area is full, you can park in the green area, but it is separated from the FT area by a fence, so it is better to park closer to the entrance if you plan to use the FT. The FT is open 24 hours and has toilets, water refills, a cup noodle vending machine (with hot water), a TV, etc. For bathing, ""Nishi Kikyo Health Ground (open 5:00-23:00 every day) details"" is recommended for hot spring enthusiasts. If you want to save time and money, there are free showers on the ship. (Posted: March 2026, by tossan)"
62,■ Public restrooms and free parking available. (Older post from before 2019)
63,"■Report from a reader of this site: 500 yen, details 8:00-23:00 Cafeteria available inside reception. Soap etc. not provided. (Submitted by: n, February 2026)"
64,"■Report from a reader of this site: 500 yen, details 13:00-21:00 Closed Wednesdays No soap etc. provided. (Submitted by: n, February 2026)"
65,"■ 500 yen, details
■ Reader report from this site: 500 yen, details 10:00 AM - 10:00 PM Closed on the 3rd Monday of the month Cafeteria and rest area available inside the reception area. (Submitted by: n, February 2026)"
66,"■This side, which has clean toilets, is closed off at night. (Confirmed on-site by the administrator in August 2023)"
67,■ Beautiful
68,■A popular restaurant where you can enjoy wagyu steak and hamburgers at a good price. (Tabelog)
69,"■A road runs for several kilometers with the sea on both sides. You can see the sea, wetlands, Kunashir Island, and mountains rising in the distance across the bay. Parking is available."
70,■Hydrogen sulfide gypsum spring currently closed
71,"■A scenic spot in Rumoi. Great for sunset and nighttime views. The toilets are closed at night, so overnight parking is not possible."
72,■Egg-on-rice is recommended. (Tabelog)
73,"■Spring water from Mt. Shari, located within Raiun Park."
74,■The fresh sea urchin caught in Rausu is exquisite. (Tabelog)
75,"■Located in Makari Village, on the south side of Mount Yotei. There are many people using plastic water containers, so you may have to wait to fill up your water bottles."
76,"■Water is flowing from a bear's mouth towards Mount Yotei. The path to get there is narrow, so be careful."
77,■Sunset Spot
78,■Sunset Spot
79,■Sunset Spot
80,■Sunset Spot
81,■Sunset Spot
82,"■ Paid parking: 17:00-3:00 AM: 800 yen, 3:00 AM-17:00 PM: 500 yen. Details available. Overnight stay possible for 1300 yen. You can see the Sapporo night view from the parking lot. There are reports of a temporary toilet (Japanese style) and that overnight stays in your car are possible. (Older post from before 2019)
■ Try searching for photos of the night view visible from here."
83,"■ Paid overnight parking space. Available even to non-members of the Kuruma Tabi Club. Details
■ Reader report from this site: This season's operations are scheduled to begin on April 19th. (Submitted by r in February 2024)"
84,■This service is now paid. 500 yen. See details for pricing.
85,■ Paid campsite. Parking and overnight stays in cars cost 400 yen per person. See details. Toilets and trash cans are available. It's quiet if there aren't any rowdy partygoers. (Older post from before 2019)
86,■ Paid auto campsite. From 2000 yen per night. Details
87,"■ Paid campsite. Overnight stays in vehicles are also charged at 330 yen. Very cheap. Details, details"
88,"■ Paid campsite. Overnight stays in vehicles are also subject to a fee. Details
■ Bathing ♨️: Fureai Yuyukan, 360 yen, Details"
89,■ Paid campsite. 500 yen per vehicle. Details
90,■ Paid campsite. 400 yen per person. Details. It gets crowded and noisy on weekends. (Older post from before 2019)
91,"■ Paid campsite. 500 yen for up to two tents. Note that there is also a 500 yen charge for sleeping in your car. Details
■ The toilets are flush toilets and decent. There is a water source. It gets crowded during the holiday season. The parking lot on the south side (where the toilets are) faces a main road and has a fair amount of traffic, and locals drive at high speeds, making it noisy from early in the morning. The parking spaces scattered on the west side of the lake are quiet and nice. (Confirmed on-site by the manager in August 2021)"
92,■ Paid campsite. 500 yen for up to 2 tents. Note that a 500 yen fee is also charged for overnight stays in vehicles. Details
93,■ Paid campsite. Overnight stays in vehicles in the campsite parking lot are permitted for 1000 yen (campsite facilities are available). Details
94,■ Paid campsite. From 1050 yen. Details. Entrance and exit are closed at night. (Confirmed on-site by the manager in August 2023)
95,"■ Paid campsite. Details. Please note that all toilets in the park, except those in the campsite, are closed at night. (Confirmed on-site by the park manager in July 2024)"
96,■ Paid campsite. Details
97,■The paid campsite was renovated in 2024 and has become much more expensive. Price details
98,"■Paid Campsite Details
■Report from a reader of this site: Overnight stay in a car: 620 yen per night. Coin showers and coin laundry available. 24-hour toilets. Garbage disposal OK. Round-trip bus ride to hot springs possible. Powered site +2000 yen. I stayed on a weekday, but it was quiet and I slept soundly until morning. (Posted by: i, July 2024)"
99,"■ Paid campsites, details"
100,"■ Paid campsites, details"
101,■ Paid auto campsite. Details: Coin-operated showers available (100 yen/5 minutes). (Older post from before 2019)
102,"■ Famous astronomical observation spot, free parking, and restrooms available."
103,"■A famous restaurant. To be honest, the sea urchin at Shakotan or Coco Kapiu is overwhelmingly better. (Tabelog)"
104,"■Famous restaurant, specializing in sea urchin rice bowls and seafood rice bowls. (Tabelog)"
105,"■Famous hot spring resort with paid campsite 🏕️. 1800 yen per person (including bathing fee), details
■Bathing ♨️: Japan's finest, super-concentrated moor spring, free-flowing from the source, 600 yen, details"
106,■A famous bakery. Their chikuwa bread is famous and quite delicious. It tastes best when freshly baked. They also have many other reasonably priced savory breads. (Tabelog)
107,"■A famous hamburger restaurant. Their hamburgers and hot dogs, made with the finest ingredients, are delicious. There are incredibly long lines on weekends and holidays, so it's best to line up before opening time. (Tabelog)"
108,"■A famous zoo.

■Report from our site's readers: Asahiyama Zoo Details This zoo is famous for its behavioral exhibits (currently the 3rd most visited zoo in Japan). Admission fee: 820 yen. Opening hours: 9:30-17:15 in October, 9:30-16:30 in October and November, and 10:30-15:30 in April. Closed in April, November, and during the New Year holidays. There are free parking lots operated by the zoo and privately run paid parking lots, so it's best to use the free parking lot whenever possible. Don't be fooled by touts for the paid parking lots. Parking map: Details"
109,■A famous prison at the edge of the world. Open for tours. There is also a shop selling prison-related goods.
110,"■A famous Genghis Khan restaurant. Absolutely delicious. The lamb and mutton marinated in a rich garlic sauce are incredibly tasty. There's a huge line, so it's best to arrive 30 minutes before opening. It's really delicious. It's the best. Tabelog"
111,■A famous curry restaurant. (Tabelog)
112,"■The Urakawa Town side of the Nozuka Tunnel. It draws groundwater from the Hidaka Mountains that springs up inside the tunnel. There are toilets, but it is closed in winter."
113,"■The area is closed at night, so overnight parking is not permitted (confirmed on-site by the administrator in June 2021)."
114,■Nighttime closure (Confirmed on-site by administrator in August 2023)
115,"■It's nice and quiet at night, but unfortunately the toilets are closed. The parking lot is also quite steep overall. (Confirmed by the caretaker on-site in August 2023)"
116,■Complete nighttime lockdown (Confirmed on-site by administrator in August 2023)
117,"■A park parking lot that is open at night. (Older post from before 2019)
■Because it is in a residential area, there is a high possibility that it will be reported as a suspicious vehicle and questioned by the police. (Older post from before 2019)"
118,"■It's incredibly quiet at night, but the building with the toilets is completely closed off at night. (Confirmed by the administrator on-site in July 2022)"
119,■ No toilets available at night
120,"■Free parking lot and public toilets that remain open even at night. Because it's in a residential area, there's a possibility of locals reporting it as a ""suspicious person"" living there. (Older post from before 2019)"
121,"■At night, street racers may come. The toilets are clean and nice, with flushable Western-style toilets. (Confirmed on-site by the administrator in July 2021)
■Report from a reader of this site: Located along National Route 453. There is a sign for a ""chain fitting area,"" but there is parking space for more than 20 cars and a toilet. (Older post from before 2019)"
122,■It's quiet at night with almost no traffic. Long-distance trucks take the highway (free section) (older post from before 2019)
123,"■The lights are turned off around 11pm, but it doesn't seem to be closed down. Young people sometimes hang out here, but they don't make a racket. Toilets are unconfirmed. Toilet information is needed."
124,"■Located in a different place from Abashiri Prison.

■Report from our site's readers: Details of Abashiri Prison Museum An open-air museum preserving and displaying the former buildings of Abashiri Prison. Prison food is available in 29 months (10:00-14:30). Admission fee: 1080 yen (discount coupons available on the official website). Open 9:00-17:00 (8:30-18:00 in 59 months)."
125,"■Located at the end of a narrow, forest-road-like path next to the railroad crossing below the Abashiri Local History Museum. There are no signs, so be careful when turning around or passing other vehicles."
126,■A popular restaurant that recreates the meals served at Abashiri Prison. It's quite delicious. (Tabelog)
127,"■Specialty mushroom soup 110 yen. You can also get pure spring water for free. Horie-san highly praised the okonomiyaki ""Junjun"" here."
128,"■Located south of the Kiritappu Marsh, there is an observation deck. The sea is to the south, but it is slightly elevated. There are no streetlights on the road, making it good for stargazing. Parking is very limited. There are toilets. A good spot for astronomical observation."
129,■Free parking and flush toilets. Conveniently located near a convenience store. (Older post from before 2019)
130,"■Free parking and public toilets (flush toilets, Western style). Confirmed that they are not closed at night. It's nice and quiet at night, but it's in the middle of a residential area and locals start gathering there early in the morning. (Confirmed by the administrator on-site in June 2024)"
131,"■Free parking and public toilets. Very quiet at night. The toilets are very clean, simple flush toilets with Western-style toilets, bidet functions, and nighttime lighting. High-grade as public toilets. The downside is that there are almost no level spots in the parking lot near the upper toilets. The parking lot at the lower cemetery is level and good, but it's far from the toilets. (Confirmed on-site by the caretaker in August 2020)
■About overnight stays in cars and paranormal phenomena 👻"
132,"■Free parking and public toilets. It's incredibly quiet at night as no one comes, which is great, but the toilets don't seem to have been cleaned in a long time, as they're covered in cobwebs and scattered with dead leaves. They're simple flush toilets, and the lights work and the water does flow at night, but they're far from clean. If you can tolerate the awful toilets, it's possible to stay overnight in your car. (Confirmed by the administrator on-site in August 2020)"
133,"■Free parking and public toilets. Confirmed not to be closed at night. Cell phone reception is OK. The toilets are simple flush toilets (Japanese style). Not exactly clean. It's generally quiet, but the sound of passing freight trains can be heard periodically. Also, there's a periodic loud banging sound, possibly from bear deterrents. Despite being in such a remote location, earplugs are necessary for a good night's sleep, which is a bit of a mixed feeling. (Confirmed on-site by the caretaker in June 2022)
■Free campsite. Details. (Older post from before 2019)"
134,"■Free parking and public toilets. Confirmed that they are not closed at night. The toilets are traditional Japanese-style pit toilets and, as expected, smelly. Cell phone reception is barely OK (Docomo, SoftBank). The downside is that the parking lot is unpaved and has a steep slope overall. Not really recommended. Elevation 484m. (Confirmed on-site by the administrator in September 2023)"
135,■Free parking and public restrooms. Confirmed that they are not closed at night. The restrooms are Japanese-style pit toilets. Cell phone reception is barely OK. Extremely quiet at night (quietness level S). Safety is at your own risk. The entire parking lot has a slight slope. (Confirmed on-site by the caretaker in August 2023)
136,■Free parking and public toilets. Confirmed that they are not closed at night. The toilets are Japanese-style pit toilets. Cell phone reception is OK. Very quiet at night. Safety is at your own risk. (Confirmed on-site by the caretaker in August 2022)
137,"■Free parking and public toilets. Confirmed they are not closed at night. The toilets are Western-style pit toilets, but they are bio-toilets so they don't smell and are not bad. The toilet lights are on at night. Very quiet at night. As it is a residential area, there is a high possibility of police patrols and questioning. (Confirmed on-site by administrator in July 2022)
■Report from a reader of this site: Toilets available. Water source available. Overnight parking possible. (Older post from before 2019)"
138,"■Free parking and public toilets. Confirmed not to be closed at night. The toilets are relatively clean, simple flush toilets, and include Western-style toilets. Cell phone reception is OK. Extremely quiet at night, fantastic. Wonderful. Safety is at your own risk. Hokkaido deer sometimes gather near the parking lot, and you may hear their cries at night. Also, a mysterious loud announcement blares around 6 AM (I forget the exact time). (Confirmed on-site by the administrator in June 2022)
■Report from a reader of this site: Nishiki-Oonuma parking lot, quiet, close to Yunomi-no-Yu hot spring (600 yen for adults), close to Alten auto campsite (older post from before 2019)"
139,"■Free parking and public restrooms. Confirmed that they are not closed at night. The restrooms are a short walk from the parking lot, but they are clean, simple flush toilets, and include Western-style toilets (see location for details). While the aerial photos make the parking lot appear small, when I visited in 2022, it had been expanded and is quiet and pleasant if you park in the back. Cell phone reception is OK. Safety is at your own risk. (Confirmed on-site by administrator in June 2022)"
140,"■Free parking and public restrooms. Confirmed that they are not closed at night. The restrooms are a short walk from the parking lot (details), but they are relatively clean flush toilets, including Western-style ones. At night, it is generally quiet, with only the sound of waves audible. There are virtually no people around, so safety is your own responsibility. (Confirmed on-site by administrator in August 2023)"
141,"■Free parking and public restrooms. Confirmed they are not closed at night. The restrooms are a short walk from the parking lot, across the road, next to the park management building (here). They are simple flush toilets in a Japanese style. It's incredibly quiet at night, which is wonderful. Although it's on a slope, the ground has been leveled to make it flat, at considerable expense. Cell phone reception is OK. (Confirmed on-site by the caretaker in July 2022)"
142,■Free parking and public restrooms. Confirmed that they are not closed at night. The restrooms are flush toilets (Japanese style). Very quiet at night. Safety is at your own risk. (Confirmed on-site by the caretaker in July 2022)
143,■Free parking and public restrooms. Confirmed that they are not closed at night. The restrooms are simple flush toilets (Japanese style). Quiet at night. Safety is at your own risk. (Confirmed on-site by the caretaker in August 2023)
144,"■Free parking and public toilets. Confirmed they are not closed at night. The toilets are Western-style with simple flushing and are not bad. Cell phone reception is OK. Locals seem to come here to rest occasionally in the middle of the night, and the low-frequency sound of large ship engines is audible, waking me up several times during the night. I wouldn't particularly recommend it. (Confirmed on-site by the administrator in June 2022)"
